상호명,상권업종소분류명,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번주소,도로명주소,층정보,경도,위도,nearest_station,transit_type,walk_time_minutes,walk_distance_m,straight_distance_m
랭스영카페앤펍,카페,강남구,11680640,역삼1동,1168010100,역삼동,서울특별시 강남구 역삼동 637-2,서울특별시 강남구 테헤란로13길 24,1,127.0320728,37.50125594,역삼역,버스정류장,5.6,377.49023750234045,269.6358839302432
레비티커스커피,카페,강남구,11680510,신사동,1168010700,신사동,서울특별시 강남구 신사동 565-4,서울특별시 강남구 논현로157길 13,1,127.0268668,37.52234074,압구정역4번출구,버스정류장,8.4,561.4529952343188,401.0378537387992
레이브릭스,카페,강남구,11680510,신사동,1168010700,신사동,서울특별시 강남구 신사동 555-13,서울특별시 강남구 논현로153길 46,1,127.0244454,37.52052124,가로수길,버스정류장,9.9,662.5623816860389,473.25884406145633
로얄마카롱,카페,강남구,11680640,역삼1동,1168010100,역삼동,서울특별시 강남구 역삼동 641-15,서울특별시 강남구 테헤란로25길 26,3,127.0354886,37.50226409,역삼역.GS타워,버스정류장,2.9,194.6309947368027,139.02213909771623
루다커피,카페,강남구,11680531,논현2동,1168010800,논현동,서울특별시 강남구 논현동 234-1,서울특별시 강남구 논현로114길 8,1,127.0340778,37.50850847,언주역3번출구,버스정류장,1.1,73.99434556875133,52.853103977679524
르뱅룰즈,빵/도넛,강남구,11680656,도곡2동,1168011800,도곡동,서울특별시 강남구 도곡동 467-17,서울특별시 강남구 언주로30길 57,1,127.0539588,37.4894628,도곡,지하철역,4.2,281.0473485616939,200.74810611549566
리퍼블릭,카페,강남구,11680545,압구정동,1168010700,신사동,서울특별시 강남구 신사동 588,서울특별시 강남구 도산대로33길 8,1,127.0302826,37.52115059,압구정역4번출구,버스정류장,11.4,763.6879298536392,545.4913784668852
만쥬랑,빵/도넛,강남구,11680630,대치4동,1168010600,대치동,서울특별시 강남구 대치동 922,서울특별시 강남구 선릉로 326,1,127.052043,37.49877107,한티역,버스정류장,1.3,88.90412396805787,63.50294569146991
매머드익스프레스자곡동점,카페,강남구,11680700,세곡동,1168011200,자곡동,서울특별시 강남구 자곡동 651,서울특별시 강남구 자곡로 180,1,127.1033616,37.47371632,정보 없음,없음,,,
메가엠지씨커피,카페,강남구,11680640,역삼1동,1168010100,역삼동,서울특별시 강남구 역삼동 704-51,서울특별시 강남구 선릉로93길 26,1,127.0464263,37.50483718,선릉역,버스정류장,4.0,269.1077399714011,192.2198142652865
메가엠지씨커피수서역점,카페,강남구,11680750,수서동,1168011500,수서동,서울특별시 강남구 수서동 724,서울특별시 강남구 광평로 280,B2,127.103109,37.48732178,수서역.로즈데일빌딩,버스정류장,0.8,50.402771290102045,36.00197949293003
메가엠지씨커피점,카페,강남구,11680640,역삼1동,1168010100,역삼동,서울특별시 강남구 역삼동 644-9,서울특별시 강남구 테헤란로25길 15,1,127.0351942,37.50160645,역삼역,버스정류장,2.7,180.79981468286246,129.1427247734732
메머드익스프레스삼성도심,카페,강남구,11680580,삼성1동,1168010500,삼성동,서울특별시 강남구 삼성동 158-11,서울특별시 강남구 테헤란로87길 17,1,127.0583497,37.50874225,한국무역센터.삼성역,버스정류장,6.3,423.4838229462129,302.4884449615807
메종꼬꼬,카페,강남구,11680565,청담동,1168010400,청담동,서울특별시 강남구 청담동 8-2,서울특별시 강남구 삼성로145길 6,,127.0477041,37.52235218,엠네트음악방송국,버스정류장,7.9,526.7022964300451,376.2159260214608
멜트커피,카페,강남구,11680580,삼성1동,1168010500,삼성동,서울특별시 강남구 삼성동 157-15,서울특별시 강남구 테헤란로81길 22,1,127.0569245,37.50849967,한국무역센터.삼성역,버스정류장,9.0,600.578522623272,428.98465901662286
