cafe_name,avg_review_sentiment_score
달보드레수제공방 도봉구 방학3동,0.9945631623268129
달복디저트 송파구 장지동,0.9944188594818116
달카페 동대문구 신설동,0.7
달카페 서대문구 남가좌2동,0.8960581064224243
달콤제빵소 동대문구 청량리동,0.7589781244595845
달콤한인생 강남구 역삼1동,0.8054407318433126
달콤한카페 성동구 마장동,0.952260438601176
달콩커피 동작구 상도1동,0.6251340880990028
달퐁 강서구 방화1동,0.9467310428619384
당산대로 영등포구 당산2동,0.639187890291214
대니스수퍼마켓 성동구 성수2가3동,0.7128484039471068
대우산업개발 영등포구 여의동,0.5
대치동제빵소베이커리까페 강남구 대치4동,0.9877575755119324
대학생성경읽기선교회남산센타다눔지점 중구 장충동,0.6643516023953756
대한불교조계종봉은사서래원 강남구 삼성1동,0.6838789463043213
대한헬로우핸즈주 동작구 대방동,0.5
댕로커피 종로구 혜화동,0.7913799226284027
더감자 광진구 구의3동,0.9930803179740906
더그린 중랑구 신내1동,0.5410715937614441
더라운지커피클럽 성북구 정릉3동,0.8306869324445725
더바른차담소 중랑구 면목4동,0.8319374315878925
더베리와플 성북구 안암동,0.6703593602547279
더벤티 강서구 공항동,0.9885438084602356
더벤티 구로구 개봉2동,0.990398367245992
더벤티 동작구 흑석동,0.0055930614471435
더벤티구로대륭포스트8차점 구로구 구로3동,0.5
더벤티신림녹두점 관악구 대학동,0.9860795140266418
더벤티올림픽공원역점 송파구 오륜동,0.3976998726526896
더벤티을지로6가점 중구 광희동,0.5989593576301228
더벤티회기 동대문구 휘경1동,0.4523857355117798
더부르다 은평구 갈현1동,0.8750697697911943
더브래드팬트리 마포구 상암동,0.8468702915596635
더블랙탑커피 용산구 한강로동,0.9939996004104614
더블버터 강동구 길동,0.5
더블유에이비 용산구 한강로동,0.991966950893402
더블즈 도봉구 쌍문1동,0.7182983246942362
더스키앤드커피 종로구 이화동,0.670031249748086
더쌍화커피 마포구 공덕동,0.7930641829967499
더쟁이 송파구 잠실3동,0.9940840601921082
더치앤빈구로디지털단지역지점 구로구 구로3동,0.6327397942543029
더카페 금천구 가산동,0.5420638605952263
더카페가산이노플렉스점 금천구 가산동,0.9851561784744264
더카페독산역1번 금천구 독산1동,0.9728736400604248
더커피마켓13 성동구 금호2.3가동,0.6754275361696879
더파이홀 관악구 낙성대동,0.988306075334549
더플롯커피 동작구 신대방2동,0.7035740869385856
던킨도너츠 노원구 상계6.7동,0.6736336886882782
던킨도너츠삼성GEC점 강동구 상일2동,0.5
던킨도너츠암사역점 강동구 암사2동,0.5547280641489251
던킨도너츠영등포역사점 영등포구 영등포본동,0.6739296726205132
던킨도너츠응암역점 은평구 응암1동,0.7167789885553263
던킨용산 용산구 한강로동,0.0082413554191589
데이롱카페강북 강북구 송중동,0.4835186511278152
데이즈앤데이즈 관악구 조원동,0.6582612803284551
데인티 성북구 장위1동,0.9
델꾸와식빵 양천구 신월2동,0.7263668855031331
델리셔스 중랑구 중화2동,0.5064882040023804
도깨비고로케 노원구 중계본동,0.9176800906658172
도너츠윤 강남구 압구정동,0.9801747504487096
도노커피배롱나무카페 중구 명동,0.8320155104001363
도베르 강북구 수유3동,0.7471203953027725
도본 도봉구 쌍문3동,0.9827051719029744
도봉산만남의광장 도봉구 도봉1동,0.6954417494436105
도산제과 금천구 독산1동,0.993412458896637
도스팩토리 성동구 성수2가3동,0.6301344335079193
도우앤제빵소 구로구 구로3동,0.1459646821022033
도우터 광진구 화양동,0.9514824253320694
도코로 용산구 이태원1동,0.7559635068431044
도프커피 마포구 상암동,0.9679211974143982
독산역카페 금천구 가산동,0.8002405121922493
독수리다방 서대문구 신촌동,0.8296985399723052
동네커피 종로구 가회동,0.8525585709196148
동백양과점 종로구 종로1.2.3.4가동,0.508509486913681
동아 강동구 천호2동,0.9
두구두구 양천구 목2동,0.8105787747784664
두그루커피 서초구 양재2동,0.6745024472475052
두더커피 금천구 독산1동,0.7574254670313427
두림콩숲 강서구 방화2동,0.8131403962771099
두모망 마포구 합정동,0.6382025241851806
두바이커피 도봉구 창4동,0.7922323842346668
둡커피바 마포구 대흥동,0.8861262798309326
드쉼 동대문구 제기동,0.973744969367981
디디디알보틀캔커피 중랑구 면목4동,0.9938884377479552
디저트39 강서구 등촌2동,0.7133128448230465
디저트39 서대문구 천연동,0.6423612634340922
디저트39 양천구 목1동,0.9821167588233948
디저트39 양천구 신월6동,0.1962972283363342
디저트39개봉 구로구 개봉1동,0.7214998066425323
디저트문 관악구 남현동,0.4349611461162567
디저트얌 도봉구 방학1동,0.9110708236694336
디저트프룻 관악구 신림동,0.7233463585376739
디졸브 성북구 석관동,0.6218879777651567
디케이올 서초구 방배2동,0.6969688296318054
딥스츄 동대문구 회기동,0.9945253133773804
따뜻한식빵 동대문구 장안1동,0.99403315782547
따우전드 성동구 성수2가3동,0.8260652996026553
땡스 동작구 사당1동,0.00629323720932
떡가게종춘익선 종로구 종로1.2.3.4가동,0.7408140726578542
떡그리다 양천구 목1동,0.6315942671298981
떼루아 강북구 송중동,0.6889763474464417
뚜레쥬르 강서구 방화3동,0.0213029384613037
뚜레쥬르 동대문구 장안2동,0.760508777918639
뚜레쥬르가재울점 서대문구 남가좌1동,0.6406004833138507
뚜레쥬르남부농협점 관악구 조원동,0.930859515883706
뚜레쥬르녹번역점 은평구 응암1동,0.7313910722732544
뚜레쥬르도봉 도봉구 방학1동,0.7325877475738525
뚜레쥬르도봉한신점 도봉구 도봉2동,0.1
뚜레쥬르시카고 서대문구 남가좌2동,0.6406004833138507
뚜레쥬르신도림역점 구로구 신도림동,0.7435527428336764
뚜레쥬르신림 관악구 신림동,0.701245895949277
뚜레쥬르아현역점 서대문구 북아현동,0.8094954693317413
뚜레쥬르연신내GTX점 은평구 갈현2동,0.7068789538215188
뚜레쥬르영등포도림점 영등포구 도림동,0.8212633596999305
뚜레쥬르우이점 강북구 우이동,0.7265502158333274
